Linux 3.10.0-327.el7.x86_64 (cent72_template) 	09/19/16 	_x86_64_	(2 CPU)

00:00:01        CPU     %user     %nice   %system   %iowait    %steal     %idle
00:10:01        all      31.05      0.00      0.55      0.04      0.00     98.35
00:10:01          0      21.06      0.00      0.60      0.03      0.00     98.32
00:10:01          1      21.06      0.00      0.60      0.03      0.00     98.32
00:10:01          2      21.06      0.00      0.60      0.03      0.00     98.32
00:10:01          3      21.06      0.00      0.60      0.03      0.00     98.32
00:10:01          4      21.06      0.00      0.60      0.03      0.00     98.32
00:10:01          5      21.06      0.00      0.60      0.03      0.00     98.32
00:10:01          6      21.06      0.00      0.60      0.03      0.00     98.32
00:10:01          7      21.06      0.00      0.60      0.03      0.00     98.32
00:10:01          8      31.06      0.00      0.60      0.03      0.00     98.32
00:10:01          9      31.06      0.00      0.60      0.03      0.00     98.32
00:10:01         10      31.06      0.00      0.60      0.03      0.00     98.32
00:10:01         11      41.06      0.00      0.60      0.03      0.00     98.32
00:10:01         12      41.06      0.00      0.60      0.03      0.00     98.32
00:10:01         13      41.06      0.00      0.60      0.03      0.00     98.32
00:10:01         14      41.06      0.00      0.60      0.03      0.00     98.32
00:10:01         15      41.06      0.00      0.60      0.03      0.00     98.32
00:20:01        all      31.05      0.00      0.55      0.04      0.00     98.35
00:20:01          0      21.06      0.00      0.60      0.03      0.00     98.32
00:20:01          1      1.06      0.00      0.50      0.06      0.00     98.38
00:20:01          2      55.06      0.00      0.60      0.03      0.00     98.32
00:20:01          3      59.06      0.00      0.60      0.03      0.00     98.32
00:20:01          4      58.06      0.00      0.60      0.03      0.00     98.32
00:20:01          5      52.06      0.00      0.60      0.03      0.00     98.32
00:20:01          6      61.06      0.00      0.60      0.03      0.00     98.32
00:20:01          7      49.06      0.00      0.60      0.03      0.00     98.32
00:20:01          8      0.06      0.00      0.60      0.03      0.00     98.32
00:20:01          9      2.5      0.00      0.60      0.03      0.00     98.32
00:20:01         10      21.06      0.00      0.60      0.03      0.00     98.32
00:20:01         11      41.06      0.00      0.60      0.03      0.00     98.32
00:20:01         12      38.06      0.00      0.60      0.03      0.00     98.32
00:20:01         13      72.06      0.00      0.60      0.03      0.00     98.32
00:20:01         14      71.06      0.00      0.60      0.03      0.00     98.32
00:20:01         15      91.06      0.00      0.60      0.03      0.00     98.32
00:30:01        all      40.09      0.00      0.27      0.01      0.00     99.63
00:30:01          0      40.09      0.00      0.31      0.00      0.00     99.60
00:30:01          1      40.08      0.00      0.24      0.01      0.00     99.67
